"Id","Name","Acronym","Description","URL","Location","Country","Latitude","Longitude","Head of collection","Contact","National node","Withdrawn","Parent collection","Sub collections","Biobank","Biobank label","Network","Combined_network","Also known in","Type","Data categories","Order of magnitude","Size","Categories","Timestamp","Number of donors","Order of magnitude donors","Sex","Diagnosis available","Age low","Age high","Age unit","Facts","Materials","Storage temperatures","Body part examined","Imaging modality","Image dataset type","Collaboration commercial","Collaboration non for profit","Data use","Available for commercial use","Fee-based access to","Access via join projects to","Access description","Access uri","PD/SOP","Quality","Combined quality"
"bbmri-eric:ID:IT_1382539370263740:collection:1591009055829550","PLATONE Project","PLATONE","Platone (Integrated Health Life Platform) collects and stores at the moment, only buffy coat samples of hospitalized patients for any diagnosis, in the clinics belonging to the Neuromed group, thus creating a network between the structures belonging to the CRB.",,,"Italy","41.511422","14.062517",,"mbdonati@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Population-based","Medical records,Survey data,Other,Biological samples","10 - 100","3000","Population Reference","2021-04-08T13:14:42Z",,,"Male,Female",,"18",,"Year",,"Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data","Submission of a collaborative proposal through a specific form to the scientific commitee of the project",,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1382539370263740:collection:16073503850297","IPSYS","IPSYS","IPSYS (Italian Project on Stroke in Young adultS) The purpose of this collection is to identify the genetic and environmental factors that can increase the risk of a first cerebral ischemic stroke and of a second thrombotic event in young adults (18 to 45 years old).",,,"Italy",,,,"amalia.decurtis@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Cohort","Medical records","10 - 100","1500",,"2021-04-08T13:14:42Z",,,"Male,Female",,"18","45","Year",,"Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data",,,,,
"bbmri-eric:ID:IT_1382539370263740:collection:1607351461029866","IMMIDIET","IMMIDIET","IMMIDIET EC-funded research focused on Italian emigrants to Belgium. Many remained in their new country, assimilating new habits. An ideal situation to evaluate the role of genetic, hereditary, and acquired factors on the risk of cardiovascular disease.",,,"Italy",,,,"amalia.decurtis@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Population-based","Survey data","10 - 100","8800","Population Reference","2022-12-21T13:56:19Z",,,"Male,Female",,"26","64","Year",,"Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data",,,,,
"bbmri-eric:ID:IT_1382539370263740:collection:1607351697833188","Athena","Athena","ATHENA (AnTHocyanin and polyphenol bioactives for Health Enhancement through Nutritional Advancement) project, supported by the European Union (FP7), stems from an observational study suggesting that moderate wine consumption reduced the side-effects of radiation therapy (RT) in patients with breast cancer. Such protective effect could be due to the non-alcoholic fraction of wine, rich in anti-inflammatory polyphenols, such as anthocyanins.",,,"Italy",,,,"amalia.decurtis@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Cohort","Survey data,Biological samples,Physiological/Biochemical measurements","10 - 100","195",,"2021-04-08T13:14:42Z",,,"Female",,"18","75","Year",,"Plasma,Serum,Urine,Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data",,,,,
"bbmri-eric:ID:IT_1382539370263740:collection:1607352015403182","moli-sani follow-up","moli-fup","Moli-sani involved over 24,000 adult citizens residing in Molise. Moli-sani collects anamnestic, chemical-clinical, socio-economic and lifestyle information of the adult subjects recruited. Gene/environment interactions are studied to evaluate risk/protection factors (environmental, genetic or dietary) for the development of cardiovascular, neurodegenerative and tumor diseases. Anamnestic data and follow-up samples from more than 3000 subjects are also available. Follow-up is ongoing.",,,"Italy",,,,"amalia.decurtis@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Population-based","Survey data,Biological samples,Physiological/Biochemical measurements,Other","10 - 100","3000","Population Reference","2021-04-08T13:14:42Z",,,"Male,Female",,"50",,"Year",,"Plasma,Serum,Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Sample processing PD/SOP,Data transport PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1382539370263740:collection:160735222750721","PReFace","PReFace","Preface (Risk factors and prediction of surgical outcome in lumbar spinal stenosis) Studies the factors that can increase the risk of lumbar stenosis, worsen its clinical course or affect the outcome of surgery. The collected samples of serum, EDTA plasma and buffy coat, stored in the Preface Bank come from subjects admitted to the IRCCS Neuromed center to undergo surgery for lumbar stenosis.",,,"Italy",,,,"amalia.decurtis@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Cohort","Survey data,Medical records,Biological samples,Physiological/Biochemical measurements","10 - 100","273",,"2021-04-08T13:14:42Z",,"100 - 1000","Male,Female",,,,"Year",,"Plasma,Serum,Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1382539370263740:collection:160735239196034","MEDPAD","MEDPAD","MedPad (Mediterranean diet and Peripheral Arterial Disease) Studies the relationship between the Mediterranean diet, its antioxidant content and the risk of Peripheral Arterial Disease. Collects serum, EDTA plasma and buffy coat samples from patients admitted to the IRCCS Neuromed center.",,,"Italy",,,,"amalia.decurtis@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Cohort","Medical records,Survey data,Biological samples,Physiological/Biochemical measurements","10 - 100","17",,"2021-04-08T13:14:42Z",,,"Male,Female",,"35","99","Year",,"Plasma,Serum,Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample storage PD/SOP,Sample processing PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1382539370263740:collection:1607352544988502","medicea","medicea","Medicea (Adherence to the Mediterranean diet and malignant brain tumors) Studies the relationship between the Mediterranean diet, its antioxidant content and the risk of brain tumors, as well as the prognosis and quality of life of patients with these tumors. Collects serum, EDTA plasma and buffy coat samples from patients admitted to the IRCCS Neuromed center.",,,"Italy",,,,"amalia.decurtis@moli-sani.org","Italy","false",,,"Neuromed Biobanking Center","Neuromed Biobanking Center","BBMRI.it Network","BBMRI.it Network",,"Cohort","Medical records,Survey data,Biological samples,Physiological/Biochemical measurements","10 - 100","90",,"2021-04-08T13:14:42Z",,"1000 - 10.000","Male,Female",,,,"Year",,"Plasma,Serum,Buffy Coat","-60°C to -80°C",,,,"false","true",,"false",,"Samples,Data",,,"Data processing PD/SOP,Data storage PD/SOP,Sample processing PD/SOP,Data transport PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,
"bbmri-eric:ID:IT_1382601095921860:collection:1444717308968684","Biobank of Veterinary Resources","BVR","The Biobank of Veterinary Resources (BVR), located at the Istituto Zooprofilattico Sperimentale della Lombardia e dell’Emilia Romagna (IZSLER), has the mission to collect biological resources mainly resulting from routinely diagnostic procedures and research. The collected resources, stored after being submitted to careful identity and purity controls, are available to public and private institutions.. The collection consists of several types of biological samples such as cell culture, pathogens (viruses, bacteria, parassites), histological material and microorganism genomic sequences, etc.. Biological resources from third parties can be stored at BVR facilities as safe deposit, open deposit and patent deposit according to Budapest treaty.. The Biobank is certified according to ISO 9001:2015 and UNI CEI EN ISO/IEC 17025.. Furthermore, BVR has been recognized as an Office Internationale Epizooties (OIE) Collaborating Centre for Veterinary Biological Resources..",,,"Italy","45.455193","10.4136942",,"mariabeatrice.boniotti@izsler.it","Italy","false",,,"IZSLER Biobanking of Veterinary Resources","IZSLER Biobanking of Veterinary Resources","BBMRI.it Network","BBMRI.it Network",,"Other,Sample collection","Other","10.000 - 100.000","7830",,"2021-04-08T13:14:42Z",,,"Not available",,,,"Year",,"Other,Cell lines,Serum,Nasal swab,RNA,Tissue (frozen),Tissue (paraffin preserved),DNA,Pathogen",,,,,"false","true",,"false","Data,Samples","Samples,Data",,"http://www.ibvr.org/Howtoorder.aspx","Sample processing PD/SOP,Sample transport PD/SOP,Sample storage PD/SOP",,"Accredited/Certified by accredited body"
"bbmri-eric:ID:IT_1382686156197551:collection:1444717319257185","Biobanca  Neurologica","BioNeuro","BioNeuro is one of the collections of CRB-HSM. It includes:. . - cerebrospinal liquid from patients affected by neurodegenerative diseases (Alzheimer's Disease, Creutzfeldt-Jakob Disease, Frontotemporal Dementia). . - cerebrospinal liquid from patients affected by inflammatory disorders of the central nervous system (CIS, multiple sclerosis, acute, subacute and chronic inflammatory polyneuropathies). . - biopsies of sural nerve of patients with neuropathies of different origin.",,,"Italy","44.4073624","8.9693021",,"barbara.parodi@hsanmartino.it","Italy","false",,,"Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","BBMRI.it Network","BBMRI.it Network,COVID_19",,"Disease specific","Medical records,Physiological/Biochemical measurements,Biological samples","1000 - 10.000","1400","Infectious Diseases,Nervous System Disorders","2021-05-21T14:06:00Z",,,"Male,Female","Alzheimer disease,Other degenerative diseases of nervous system, not elsewhere classified,Multiple sclerosis,Hereditary and idiopathic neuropathy,Other polyneuropathies,Polyneuropathy in diseases classified elsewhere,Atypical virus infections of central nervous system","18",,"Year",,"Other,Tissue (frozen)","-60°C to -80°C","HEAD,LEG",,,"false","true",,"false","Samples","Samples,Data","sign the CRB-HSM MTA",,"Data processing PD/SOP,Data storage PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,"Accredited/Certified by accredited body"
"bbmri-eric:ID:IT_1382686156197551:collection:1447168243709749","Banca cellule ICLC","ICLC","The collection includes the Interlab Cell Line Collection (ICLC), the European Collection for Biomedical Research (ECBR) and  the International Deposit Authority (IDA).. . Born in 1994, the collection became soon a point of reference for academical and industrial researchers, to whom it supplies: . . •human and animal cell lines, mainly of tumoral origin, of certified quality (on-line catalogue). . •quality control service, detection of mycoplasma. . •identification service: authentication of human cell lines through STR profile and/or HLA profile. . •information and technical-scientific support on cell line availability at the international level, functional features, transport of biological samples. . •safe deposit for tissue samples, cell lines and hybridomas. . • patent deposit of cell lines and hybridomas: International Deposit Authority (IDA) under the Budapest Treaty.. .",,,"Italy","44.4073624","8.9693021",,"barbara.parodi@hsanmartino.it","Italy","false",,,"Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","BBMRI.it Network","BBMRI.it Network,COVID_19",,"Disease specific,Hospital,Sample collection,Other","Biological samples","1000 - 10.000","1000","Rare Disease,Oncology","2021-05-21T14:06:00Z",,,"Male,Female,Unknown","Malignant neoplasm of oesophagus,Malignant neoplasm of small intestine,Malignant neoplasm of rectum,Malignant neoplasm of pancreas,Malignant neoplasm of bronchus and lung,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Other malignant neoplasms of skin,Malignant neoplasm of other connective and soft tissue,Malignant neoplasm of cervix uteri,Malignant neoplasm of ovary,Malignant neoplasm of prostate,Malignant neoplasm of kidney, except renal pelvis,Malignant neoplasm of eye and adnexa,Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system,Malignant neoplasm of adrenal gland,Non-follicular lymphoma,Monocytic leukaemia","38","100","Year",,"Cell lines,Whole Blood","-60°C to -80°C,Liquid Nitrogen","BREAST,ESOPHAGUS,STOMACH,DUODENUM,ILEUM,COLON,RECTUM,LIVER,PANCREAS,BLADDER,OVARY,PROSTATE,TESTIS,BRAIN,EYE,THYROID",,,"false","true",,"false","Samples","Samples,Data","Fill in the order form and the agreement form, and send by mail, together with the official order from your institute, to the ICLC secretariat.","http://www.iclc.it","Data storage PD/SOP,Data processing PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,"Accredited/Certified by accredited body"
"bbmri-eric:ID:IT_1382686156197551:collection:145484867305069","Biobanca di Tessuto Liquidi Biologici e DNA","BTLB","""BTLB is one of the three collections of the CRB-HSM biobank. It includes:
- FFPE and crio-preserved tissues  from tumors (mainly breast, lung, colon), whole blood, serum, plasma, nucleic acids, urine, saliva, blood cell fractions;
- DNA from lymphoprolipherative disorders;
- biopsies from abdominal aorta, carotid, safena.""",,,"Italy","44.4073624","8.9693021",,"barbara.parodi@hsanmartino.it","Italy","false",,,"Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","BBMRI.it Network","BBMRI.it Network,COVID_19",,"Disease specific,Hospital","Biological samples","10.000 - 100.000","19000","Rare Disease,Oncology","2022-12-20T14:37:11Z",,,"Male,Female","Malignant neoplasm of lip,Malignant neoplasm of other and unspecified parts of tongue,Malignant neoplasm of floor of mouth,Malignant neoplasm of other and unspecified parts of mouth,Malignant neoplasm of other and unspecified major salivary glands,Malignant neoplasm of oropharynx,Malignant neoplasm of piriform sinus,Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx,Malignant neoplasm of stomach,Malignant neoplasm of colon,Malignant neoplasm of rectum,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of other and unspecified parts of biliary tract,Malignant neoplasm of other and ill-defined digestive organs,Malignant neoplasm of accessory sinuses,Malignant neoplasm of trachea,Malignant neoplasm of thymus,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Other malignant neoplasms of skin,Kaposi sarcoma,Malignant neoplasm of retroperitoneum and peritoneum,Malignant neoplasm of breast,Malignant neoplasm of vagina,Malignant neoplasm of corpus uteri,Malignant neoplasm of ovary,Malignant neoplasm of placenta,Malignant neoplasm of prostate,Malignant neoplasm of other and unspecified male genital organs,Malignant neoplasm of renal pelvis,Malignant neoplasm of bladder,Malignant neoplasm of eye and adnexa,Malignant neoplasm of brain,Malignant neoplasm of thyroid gland,Malignant neoplasm of other endocrine glands and related structures,Secondary and unspecified malignant neoplasm of lymph nodes,Secondary malignant neoplasm of other and unspecified sites,Hodgkin lymphoma,Non-follicular lymphoma,Other and unspecified types of non-Hodgkin lymphoma,Malignant immunoproliferative diseases,Lymphoid leukaemia,Monocytic leukaemia,Leukaemia of unspecified cell type,Malignant neoplasms of independent (primary) multiple sites,Carcinoma in situ of other and unspecified digestive organs,Melanoma in situ,Carcinoma in situ of breast,Carcinoma in situ of other and unspecified genital organs,Benign neoplasm of mouth and pharynx,Benign neoplasm of colon, rectum, anus and anal canal,Benign neoplasm of middle ear and respiratory system,Benign neoplasm of bone and articular cartilage,Haemangioma and lymphangioma, any site,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Melanocytic naevi,Benign neoplasm of breast,Other benign neoplasms of uterus,Benign neoplasm of other and unspecified female genital organs,Benign neoplasm of urinary organs,Benign neoplasm of meninges,Benign neoplasm of thyroid gland,Benign neoplasm of other and unspecified sites,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Neoplasm of uncertain or unknown behaviour of male genital organs,Neoplasm of uncertain or unknown behaviour of meninges,Neoplasm of uncertain or unknown behaviour of endocrine glands,Myelodysplastic syndromes,Neoplasm of uncertain or unknown behaviour of other and unspecified sites","20","94","Year",,"DNA,Plasma,Saliva,Serum,Tissue (paraffin preserved),Urine,Peripheral blood cells,Whole Blood","-18°C to -35°C,-60°C to -80°C,Liquid Nitrogen",,,,"false","true",,"false","Samples","Samples,Data","sign the CRB-POLIGE MTA",,"Data storage PD/SOP,Data processing PD/SOP,Data transport PD/SOP,Sample processing PD/SOP,Sample storage PD/SOP,Sample transport PD/SOP",,"Accredited/Certified by accredited body"
"bbmri-eric:ID:IT_1382686156197551:collection:1591176197397627","Biobanca COVID","CRB-HSM COVID","The collection includes residual samples from the COVID diagnostic activity of the Policlinico",,,"Italy",,,,"barbara.parodi@hsanmartino.it","Italy","false",,,"Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","Centro Risorse Biologiche IRCCS Ospedale Policlinico San Martino","BBMRI.it Network,COVID_19","BBMRI.it Network,COVID_19",,"Prospective study,Disease specific,Hospital,Sample collection","Biological samples","1000 - 10.000","1000","Covid-19,Infectious Diseases","2021-04-08T13:14:42Z",,,"Not available","Emergency use of U07 - COVID-19, virus identified","20","99","Year",,"Nasal swab,Throat swab",,,,,"false","true",,"false",,"Samples,Data","Access based upon common projects, through MTA",,"Sample processing PD/SOP,Sample storage PD/SOP",,"Accredited/Certified by accredited body"
