"Id","PID","Name","Acronym","Description","URL","Location","Country","Latitude","Longitude","Head of biobank","Contact","Juridical person","Networks","Also known in","Collections","Capabilities provided","Quality","Collaboration commercial","Collaboration non for profit","National node","Withdrawn"
"bbmri-eric:ID:IT_1383758011993577","21.12110/1.C330-6B32-00D1","Centro Risorse Biologiche – Ospedale San Raffaele","CRB-OSR","The CRB-OSR is the institutional biobank. The CRB is established with the aim of organizing, regulating and standardizing biobanking activities (acceptance, registration, processing, conservation and distribution) of human biological material and associated data for research purposes in accordance with the requirements defined in the ISO 20387, GCP and GCLP standards and the relevant legislation. The CRB is composed of:  Liquid Biobank and Tissue Biobank, which operates in collaboration with Pathological Anatomy for the conservation, distribution and characterization of left-over diagnostic tissue samples.
The CRB is aimed at clinical departments and research units that intend to conduct clinical research protocols involving the collection, storage and use of human biological specimens and associated data for the creation of a pathology specimen collection or for observational studies (prospective, retrospective, retrospective and prospective) and interventional clinical research protocols, including phase I studies.",,"Milano","Italy","45.5094769","9.2669792","tresoldi.cristina@hsr.it","cantarelli.elisa@hsr.it","IRCCS Ospedale San Raffaele","BBMRI.it Network,COVID_19,BioBanca Istituzionale",,"Lymphoid Tissue Biobank (BB-LINF),Healthcare subjects vaccinated against SARS-CoV-2 infection Biobank (COVID BioVAC),Urological Research Institute Biobank (URI),Hematological diseases Biobank (EmaBank),Neuroendocrine Tumors Biobank (NET_BANK),Autoimmune Rheumatological Diseases, Allergological Diseases and Rare Diseases Biobank (IMMUNORADAR),Institute of Experimental Neurology Biobank (INSPE),COVID-19 Biobank,Lung Cancer Biobank (SMAC-2),Multifactorial gastroenterological pathologies Biobank (BIO-PANCREAS),Chronic Leukemia Biobank (CLL-BIO),Diabetes Research Institute Biobank (DRI),Inflammatory Diseases Biobank (Med-Mol),Central nervous system diseases Biobank (NCH),Lung Cancer Tissue Collection (LCTC)","Biological material storage,Data analytics,Data Storage,Immunohistochemistry staining,Immunohistochemistry scoring,Nucleic acid extraction,BSL-2 laboratories available,BSL-3 laboratories available,Ability to set up clinical trials,Ability to set up prospective collections",,"true","true","Italy","false"
"bbmri-eric:ID:IT_1383824434985378","21.12110/1.1B24-12D5-3C0D","Biobanca Istituzionale INT","BBINT","Born in 2006, the Biological Resource Centre of IRCCS Istituto Nazionale dei Tumori includes collections of biological material (frozen tissues and, from 2012, also blood derivation) and related clinical data.","http://www.istitutotumori.mi.it","Milano","Italy",,,,"mariagrazia.daidone@istitutotumori.mi.it","Fondazione IRCCS Istituto Nazionale Tumori","BBMRI.it Network",,"onocological Samples",,,"true","true","Italy","false"
"bbmri-eric:ID:IT_1383929642991480","21.12110/1.BF71-4663-E6C1","Neuromuscular Disease Biobank","NEUMD-Besta","The biobank provides samples as a service to the scientific community conducting research on neuromuscular disorders. Samples are from patients affected by different forms of muscular dystrophy, including the severe congenital and Duchenne muscular dystrophies, as well as limb girdle muscular dystrophies, congenital myopathies, distal and myofibrillar myopathies, inflammatory myopathies, and metabolic myopathies. Different types of biomaterials are frequently available from a single patient. 
The Biobank is founding partner of the EuroBioBank network, the first operating network of biobanks for rare diseases in Europe, and of the Italian Telethon Network of Genetic Biobanks.","http://biobanknetwork.telethon.it","Milano","Italy","45.4776996","9.2307939","sara.gibertini@istituto-besta.it","sara.gibertini@istituto-besta.it","Fondazione IRCCS Istituto Neurologico C. Besta","BBMRI.it Network",,"Collection all Samples","Biological material storage,Cell culture,Data analytics,Immunohistochemistry staining,Immunohistochemistry scoring,Nucleic acid extraction,Access to the full pathology archive",,"false","true","Italy","false"
"bbmri-eric:ID:IT_1384167838447460","21.12110/1.E73D-0711-3D8C","BioBanca Istituzionale","BBI","The Institutional BioBank (BBI), is a unit of the Scientific Direction collecting human bio-materials for a Scientific Research purpose. BBI  takes part to the National Network of Oncological Biobanks “RIBBO” and “BBMRI” and stores cancer tissues, blood  and other biological fluids  in specific cryopreservation facilities.    BBI main aim is to support medical-scientific research, providing  high quality biological samples, associated with clinical data with donor approval and in respect of ethic-legal laws.    Samples can be provided only for Research Projects authorized by an Ethic Commettee  and   by the Scientific Director. BBI Regulation has been approved by the General Director with Deliberation N. 15 del 20/01/2016 and is supported by  operating procedures (SOPs) according to the international guidelines.   The manager of the biobank is Prof. Gerardo Botti, Scientific Director, helped by a biologist (Dr. Monica Cantile) and a data-manager (Mrs Ornella Sacco).","https://www.istitutotumori.na.it/RicercaScientifica/e_Biobanca.html","Napoli","Italy","40.8627859","14.2203156",,"biobancaistituzionale@istitutotumori.na.it","INT IRCCS Fondazione Pascale","BBMRI.it Network,BioBanca Istituzionale",,"Collection all Samples,BioBanca Istituzionale","Biological material storage,Cell culture,Data Storage,Digital imaging,Immunohistochemistry staining,Immunohistochemistry scoring,Nucleic acid extraction,Ability to recontact,Tissue micro array creation,Access to the full pathology archive",,"false","false","Italy","false"
"bbmri-eric:ID:IT_1384262955037988","21.12110/1.A915-AFFD-38FF","Centro Risorse Biologiche INMI L. Spallanzani","INMI-Biobank","The INMI-Biobank  is a repository of clinical samples from infectious disease patients, viral and bacterial strains and related nucleic acids. It offers a service of sample preparation and long-term storage to researchers from the Spallanzani Institute as well as other research centres, in the framework of established collaborations. INMI is research hospital devoted to the fight against infectious diseases and its Biobank was established from old pre-existing collection in 2000 and currently hosts a very large amount of biological materials belonging to more than 100 different collection/research projects. Scope of the Biobank is the long term storage of biological materials that offers its expertise and its facility. The Biobank aims to be an important","https://www.inmi.it/servizio/laboratorio_di_microbiologia_e_banca_biologica","Roma","Italy","41.8661020499999","12.4579737474937","carla.fontana@inmi.it","carla.fontana@inmi.it","Istituto Nazionale Malattie Infettive Spallanzani IRCCS","BBMRI.it Network",,"SARS-CoV-2 HCW,2019-nCoV,Sieroprevalenza SARS-CoV-2 ISTAT","Biological material storage,Nucleic acid extraction,Data Storage,BSL-2 laboratories available,BSL-3 laboratories available,Member COVID-19 Network,Antibody Development,Laboratories doing PCR-based diagnosis,Proteomics studies including protein engineering and protein interactions,Ability to set up prospective collections,Screening tools for searching virus proteases inhibitors,Ability to set up clinical trials,Virus Sequencing Facility",,"false","false","Italy","false"
"bbmri-eric:ID:IT_1384353239378890","21.12110/1.8E25-E632-0960","Biobanca del Laboratorio Regionale Prevenzione Oncologica di ISPRO","BIOBANCA LRPO-ISPRO","The Regional Laboratory for Cancer Prevention of  ISPRO is involved in programmes of screening prevention of cervical cancer and colorectal cancer, and is involved in research activity on the application of new diagnostic protocols and new molecular tests in screening and early diagnosis of uterine cervical, colorectal, lung, and prostate cancer, and in studies concerning specific genetic changes in carcinogenesis and their possible role in early diagnosis, prognosis, staging and grading of cancer.",,"Firenze","Italy",,,"s.bisanzi@ispro.toscana.it","s.bisanzi@ispro.toscana.it","ISPRO Istituto per lo Studio, le Rete e la Prevenzione Oncologica    -   FIRENZE","BBMRI.it Network",,"Italung","Biological material storage,Nucleic acid extraction,Laboratories doing PCR-based diagnosis,BSL-2 laboratories available",,"false","false","Italy","false"
"bbmri-eric:ID:IT_1384375808568138","21.12110/1.F3EF-E6A3-B2C2","Centro Risorse Biologiche Istituto Ortopedico Rizzoli","CRB IOR","The CBR-IOR born from the joint work of 3 research biobanks (BIOGEN RA-BioBank MUSCO-BIOTUM) to collect, store and. provide biological samples and data associated with them, both clinical, imaging, biological and genetic, in support of research. In. 2017 it is defined as an organizational structure in the Scientific Direction staff its objectives are the coordination and. harmonization of procedures in accordance with national and international standards, the management of sensitive data in. compliance with the protection of patients' rights working in network with the involvement of various stakeholders (networks,. patient associations, companies, etc.).","http://www.ior.it/en/ricerca-e-innovazione/biological-resource-centre","Bologna","Italy",,,"luca.sangiorgi@ior.it","luca.sangiorgi@ior.it","Istituto Ortopedico Rizzoli","BBMRI.it Network,Telethon Network of Genetic Biobanks",,"Biobanca delle Artriti Reumatoidi,BIObanca GENetica,Muscolo Skeletal Tumor Biobank","Biological material storage,Data Storage,Nucleic acid extraction,Ability to recontact,Immunohistochemistry staining,Immunohistochemistry scoring,Tissue micro array creation,Access to the full pathology archive",,"false","false","Italy","false"
"bbmri-eric:ID:IT_138442378660827","21.12110/1.2C63-0C93-D495","Biobanca IRCCS Istituto Centro San Giovanni Di Dio Fatebenefratelli","BioBank FBF","The BioBank FBF main goal is to provide human biological samples for studies aimed to 1) investigate genetic causes; 2) identify molecular marker; 3) to carry out molecular biology studies to highlight the pathogenetic mechanism in neurodegenerative and psychiatric disorders. Collected samples are DNA, plasma, serum, cerebrospinal fluid and primary fibroblasts cultures. The biological material was collected from more than 12000 patients affected by the major neuropsychiatric disorders (e.g. Alzheimer's disease, Frontotemporal dementia, major depression, bipolar disorder, schizophrenia, borderline personality disorder) and more than 1500 control subjects (with no psychiatric/cognitive disorders).","https://www.fatebenefratelli.it/it/ricerca_irccs-brescia#tab-11","Brescia","Italy","45.5238948999999","10.2020395","lbenussi@fatebenefratelli.eu","lbenussi@fatebenefratelli.eu","IRCCS Istituto Centro San Giovanni di Dio Fatebenefratelli","BBMRI.it Network",,"Biobanca IRCCS Centro San Giovanni Di Dio Fatebenefratelli","Cell culture,Biological material storage,Ability to recontact","null","false","false","Italy","false"
"bbmri-eric:ID:IT_1384423915353703","21.12110/1.F78B-B8E5-8509","Biobanca per la ricerca Bruno Boerci","BBB","Dal dicembre 2009, data della sua inaugurazione, la Biobanca Oncologica ""Bruno Boerci"" ha consensualmente raccolto, processato, stoccato e caratterizzato il materiale biologico (tessuto tumorale e sano, sangue, plasma, PBMCs, tessuto in OCT, PDOs da carcinoma mammario) da oltre 3000 pazienti affetti da differenti patologie tumorali (mammella, colon-retto, tiroide, stomaco, rene, mesotelioma pleurico maligno) (per ogni campione è inoltre presente tessuto FFPE). 
Certificata ISO 9001 la Biobanca Oncologica ""Bruno Boerci"", grazie alla stretta e proficua collaborazione con le Chirurgie, l'Anatomia Patologica e l'Oncologia Traslazionale dell'ICS Maugeri di Pavia, rappresenta un servizio di basilare importanza in grado di fornire, nel pieno rispetto delle normative nazionali ed internazionali e dei diritti dei pazienti e dei donatori, materiale biologico ed informazioni cliniche di qualità certificata a supporto di vari progetti sia interni che esterni all’Istituto.","http://www.fondazionebrunoboerci.org","Pavia","Italy",,,"fabio.corsi@icsmaugeri.it","fabio.corsi@icsmaugeri.it","ICS Maugeri","BBMRI.it Network",,"Biobanca per la ricerca Bruno Boerci,Biobanca Oncologica Bruno Boerci,Biobanca Covid Bruno Boerci","Data analytics,Immunohistochemistry scoring,BSL-2 laboratories available,Access to the full pathology archive",,"false","true","Italy","false"
"bbmri-eric:ID:IT_138486608417577","21.12110/1.141E-8429-D0A0","Banca Biologica di Ricerca Cardiovascolare-Istituto di Ricerche Farmacologiche Mario Negri IRCCS","SATURNE","La Biobanca Saturne fa parte del Centro di Risorse Biologiche dell’Istituto Mario Negri, certificato UNI EN ISO 9001:2015. All’interno di essa sono conservati campioni biologici (sangue, plasma, siero, urina, liquor, feci) raccolti durante studi clinici farmacologici nell’ambito delle malattie cardiovascolari (insufficienza cardiaca, infarto miocardico acuto, fibrillazione atriale, cardiochirurgia, diabete mellito) della terapia intensiva (sepsi, trauma cranico, neurochirurgia) e delle malattie rare (angiomi cavernosi cerebrali). L’ambizione della biobanca è contribuire alla scoperta e allo sviluppo clinico di biomarcatori che consentiranno di migliorare la diagnosi precoce e la cura dei pazienti affetti da queste malattie. È presente anche una sezione in cui sono conservati campioni di sangue utilizzabili a fini di ricerca sugli aspetti genetici delle malattie cardiovascolari, prevenienti da pazienti con scompenso cardiaco o infarto del miocardio e da soggetti sani.","http://www.marionegri.it","Milano","Italy",,,"deborah.novelli@marionegri.it","deborah.novelli@marionegri.it","Istituto di Ricerche Farmacologiche Mario Negri IRCCS","BBMRI.it Network",,"Banca Biologica di Ricerca Cardiovascolare-Istituto di Ricerche Farmacologiche Mario Negri IRCCS","Biological material storage",,"true","true","Italy","false"
"bbmri-eric:ID:IT_1384936945873731","21.12110/1.2655-6EA8-9D5F","Humanitas Hospital Biological Resources Center","BRC-ICH","The Humanitas Center for Biological Resources is aimed at biomedical research promotion, new therapy development, monitoring therapy impact and collecting systematically information on the evolution of different diseases over time. The BRC is composed of several pathology biobanks: at the moment we have activated an Oncological Biobank for solid tumor sample and data collection, an Hematological Biobank and, very recently, an Autoimmunity and Inflammation diseases Biobank. Beside the institutional biobanks within the BRC are stored also sample collections performed within specific studies. Moreover, the BRC is  in charge of sample collection for clinical trials.",,"Rozzano","Italy","45.3719995","9.1694873","daniela.pistillo@cancercenter.humanitas.it","daniela.pistillo@cancercenter.humanitas.it","Istituto Clinico Humanitas","BBMRI.it Network",,"Oncological collection,Haematological collection,Autoimmunity and Inflammation Biobank","Biological material storage",,"true","true","Italy","false"
"bbmri-eric:ID:IT_1385115527136660","21.12110/1.B4A7-4CCE-918E","BIOBANCA IEO",,"The IEO Biobank is a fully certified facility based at the European Institute of Oncology (IEO) in Milan, Italy, globally recognized as one of the leading comprehensive cancer centers. In addition to storage of tissue samples, PBMCs and biofluids, it offers storage of high-resolution digital images and integration with AI and clinicopathological/molecular data. The IEO Biobank also makes its services available to external partners, including hospitals, pharmaceutical companies, Hi-Tech and research centers, adapting flexibly to different stakeholder needs.",,"Milano","Italy",,,"nicola.fusco@ieo.it","giuseppina.bonizzi@ieo.it","European Institute of Oncology","BBMRI.it Network",,"Collection all Samples,Abdominopelvic Surgery Biobank collection,Head and neck surgery biobank collection,Senology Biobank collection,Thoracic surgery Biobank collection,Urology biobank collection,Preventive Ginecology Biobank collection,Ginecology Biobank Collection,Neuroendocrine Tumors Biobank collection",,,"true","false","Italy","false"
"bbmri-eric:ID:IT_1385131091942888","21.12110/1.3308-4F1F-97AA","IRCCS-CROB BASILICATA BIOBANK","IRCCS-CROB BBB","Since 2003 IRCCS CROB Basilicata BioBank (IRCCS CROB-BBB) collects human specimens (left-over tissues, cells and biological fluids) and associated data from oncological clinical practice. In 2009 IRCCS CROB-BBB became part of the Italian network of oncological biobanks (RIBBO) and subsequently joined the Italian Biobanking and BioMolecular resources Research Infrastructure (BBMRI). The IRCCS CROB-BBB is specifically set up to serve as a resource for research in the field of oncology and aims to be part of national and international networks in order to promote collaboration between researchers and improve translational research.
Membership in Biobank Network: BBMRI.it","http://www.crob.it","Rionero in Vulture","Italy","40.9261881","15.6694407","alessandro.sgambato@crob.it","alessandro.sgambato@crob.it","IRCCS-CROB","BBMRI.it Network",,"Solid Tumor Oncology,Collezione 1,Onco-Hematological Tumors","Biological material storage,Cell culture,Data analytics,Data Storage,Nucleic acid extraction,Ability to recontact,Immunohistochemistry scoring",,"false","true","Italy","false"
"bbmri-eric:ID:IT_1385476091814807","21.12110/1.6D4A-5C64-ABC3","Biobanca Integrata Tessuto-Genomica","BIT-Gaslini","The Biobank  Integrated Tissue&omics (BIT) has been established at Gaslini Institute, based on integration between the pathology and molecular biology units, with the aim of not only collecting, storing and distributing tissues and their genomic products but also organizing relevant clinical, demographical, molecular and other information on the donor/sample, thus generating a digital biobank. The comprehensive database thus implemented contains clinical data, pathology classifications, DNA structure, Gene expression profile, miRNA profile, NGS  etc. This organization constitutes an added value for clinical usage (prognostic factors, therapy indicators) primarily available to the patient, and research (datamining, biomarkers, pathways etc).","http://www.gaslini.org/ricerca-scientifica/attivita/biobanche/biobanca-integrata-tessuto-genomica-bit/","Genova","Italy",,,,"bit-gaslinibiobank@gaslini.org","Istituto Giannina Gaslini","BBMRI.it Network",,"Neuroblastoma samples,Glycogen Storage Disease Samples","Biological material storage,Data analytics,Data Storage,Immunohistochemistry staining,Immunohistochemistry scoring,Nucleic acid extraction,Tissue micro array creation",,"true","true","Italy","false"
"bbmri-eric:ID:IT_1385547708942390","21.12110/1.9AC7-A02F-4505","Cooperative Health Research in South Tyrol Study Biobank","CHRIS","CHRIS study is a longitudinal, population-based study to assess the etiological role of genetic and environmental risk factors, and their interactions, on cardiovascular, neurological, and metabolic conditions. It raises from the collaboration between the South Tyrol Health System and Eurac Research?, and that aims to involve individuals aged 18 or older by taking part of an interview, enrolling in a quick free clinical assessment, and by providing a sample of blood. Participation in the CHRIS Study is completely voluntary. Individuals participating will get a feedback on some of the health parameters being measured, taking the first step towards proactive prevention and improved personal health. Equally important, their participation will provide the local health system with insights for the creation of preventive medicine plans, laying the foundation for improved health care for all of the people of South Tyrol.","http://www.eurac.edu/en/research/health/biomed/projects/Pages/CHRIS.aspx","Bolzano","Italy","46.4946578","11.3435156","alessandro.degrandi@eurac.edu","alessandro.degrandi@eurac.edu","Accademia Europea – Bolzano (EURAC)","BBMRI.it Network",,"Cooperative Healt Reserch in South Tyrol Collection","Biological material storage,Data Storage,Data analytics,Ability to set up prospective collections,BSL-2 laboratories available",,"false","true","Italy","false"
"bbmri-eric:ID:IT_1385652938842205","21.12110/1.D6F1-6A45-C218","Genetic and COVID-19 Biobank of Siena","SienaGeneticBiobank","The Biobank started its activity in 1998, focusing on X-linked Intellectual disability, and specifically on Rett syndrome. Subsequently, the biobank extended the collection to samples from other genetic diseases maintained in the Medical Genetics Unit, among which the largest contribution is represented by Alport syndrome and Retinoblastoma. Moreover, the Biobank collects samples from a large number of other genetic diseases, both with and without genetic diagnosis. Different biological samples are stored: DNA, RNA, leukocytes, lymphoblastoid cell lines, primary fibroblasts, whole blood, plasma, induced Pluripotent Stem Cells. The biobank offers also services of sample manipulation storage and distribution. Finally, the COVID-19 collection started its activity in March 2020, including biological samples from patients tested positive for SARS-CoV-2 infection with different degrees of severity.","https://sites.google.com/dbm.unisi.it/gen-covid","Siena","Italy","43.3430136","11.3268577506382","alessandra.renieri@unisi.it","alessandra.renieri@unisi.it","Az. Osp. Univ. Senese / University of Siena","BBMRI.it Network",,"Alport syndrome collection,COVID-19 collection","Biological material storage,Cell culture,Data analytics,Nucleic acid extraction,Member COVID-19 Network,Laboratories doing PCR-based diagnosis","null","false","false","Italy","false"
